Name,Unit,Average Price,Min Price,Usage Count,Notes
Crushed Cinnamon - ¾ Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Water - As You Wish,1 kg,,,1,Add realistic Sri Lankan market price
Cabbage - 100G,1 kg,,,1,Add realistic Sri Lankan market price
Soya Meat - 30G Optional,1 kg,,,1,Add realistic Sri Lankan market price
Soy Meat - 25G Optional,1 kg,,,1,Add realistic Sri Lankan market price
Eggplant - 350G,1 kg,,,1,Add realistic Sri Lankan market price
Crushed Cardamom - 2 To 4,1 kg,,,1,Add realistic Sri Lankan market price
Crushed Cinnamon - ½ Teaspoon,1 kg,,,1,Add realistic Sri Lankan market price
Soya Meat Packet - 90G,1 kg,,,1,Add realistic Sri Lankan market price
Pennywort/Centella Asiatica/Gotu Kola/Vallarai - 50G,1 kg,,,1,Add realistic Sri Lankan market price
Ponnanganni Keerai/Alternanthera Sessilis - 125G,1 kg,,,1,Add realistic Sri Lankan market price
Kurakkan Noodles - 1 Packet 400G,1 kg,,,1,Add realistic Sri Lankan market price
Cabbage - 70G,1 kg,,,1,Add realistic Sri Lankan market price
Crushed Ginger - ¼ Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Maggi Vegetable Stock Cube - 1 Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Fenugreek Seeds - 1 Teaspoon,1 kg,,,1,Add realistic Sri Lankan market price
Thick Tamarind Juice - 50Ml To 75Ml,1 kg,,,1,Add realistic Sri Lankan market price
Coriander Seeds - 1 Teaspoon,1 kg,,,1,Add realistic Sri Lankan market price
Split Skinned Black Gram/Urad Dal - 1 Teaspoon,1 kg,,,1,Add realistic Sri Lankan market price
Very Thick Tamarind Juice - 1 ½ Teaspoons,1 kg,,,1,Add realistic Sri Lankan market price
Ingredients,1 kg,,,1,Add realistic Sri Lankan market price
Cumin Seeds - 1 ½ Teaspoons,1 kg,,,1,Add realistic Sri Lankan market price
Thin Tamarind Juice - 350Ml,1 kg,,,1,Add realistic Sri Lankan market price
Dal/Dhal/Parippu - 150G,1 kg,,,1,Add realistic Sri Lankan market price
Water 400Ml,1 kg,,,1,Add realistic Sri Lankan market price
Cumin Seeds - 2 Pinches,1 kg,,,1,Add realistic Sri Lankan market price
Toasted Semolina/Sooji/Rava - 250G,1 kg,,,1,Add realistic Sri Lankan market price
Tapioca/Cassava/Manioc - 500G,1 kg,,,1,Add realistic Sri Lankan market price
Okra/Ladies Finger - 125G,1 kg,,,1,Add realistic Sri Lankan market price
Radish - 150G,1 kg,,,1,Add realistic Sri Lankan market price
Idli Rice/Parboiled Rice - 750G,1 kg,,,1,Add realistic Sri Lankan market price
Water - 400Ml + 100Ml,1 kg,,,1,Add realistic Sri Lankan market price
Dal/Dhal - 100G,1 kg,,,1,Add realistic Sri Lankan market price
Cold Water - 30Ml To 50Ml,1 kg,,,1,Add realistic Sri Lankan market price
Semi-Thick Tamarind Juice - 50Ml,1 kg,,,1,Add realistic Sri Lankan market price
Cumin Seeds/Powder - ¼ Teaspoon,1 kg,,,1,Add realistic Sri Lankan market price
Coriander Seeds - ½ Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Thick Tamarind Juice - 150Ml,1 kg,,,1,Add realistic Sri Lankan market price
Water - 550Ml To 650Ml,1 kg,,,1,Add realistic Sri Lankan market price
Banana Flower - 500G,1 kg,,,1,Add realistic Sri Lankan market price
Vinegar - 2 Tablespoons,1 kg,,,1,Add realistic Sri Lankan market price
Cabbage - 250G,1 kg,,,1,Add realistic Sri Lankan market price
Fenugreek Seeds - 1 ½ Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Shrimp/Prawn - 250G After Clean,1 kg,,,1,Add realistic Sri Lankan market price
Semi Thick Tamarind Juice - 2 Tablespoons,1 kg,,,1,Add realistic Sri Lankan market price
Cornstarch - 2 Tablespoons,1 kg,,,1,Add realistic Sri Lankan market price
Coriander Seeds - 400G,1 kg,,,1,Add realistic Sri Lankan market price
Cumin Seeds - 60G,1 kg,,,1,Add realistic Sri Lankan market price
Cumin Seeds - ¾ Teaspoon,1 kg,,,1,Add realistic Sri Lankan market price
Cardamom - 10 To 12,1 kg,,,1,Add realistic Sri Lankan market price
Cinnamon - 1 ½ Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Nutella - 400G,1 kg,,,1,Add realistic Sri Lankan market price
Coriander Seeds - ½ Teaspoon,1 kg,,,1,Add realistic Sri Lankan market price
Spinach - 2 Bunches About 1Kg After Clean,1 kg,,,1,Add realistic Sri Lankan market price
Ginger - ¾ Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Cardamom - 4 Or 5,1 kg,,,1,Add realistic Sri Lankan market price
Shrimp - 250G,1 kg,,,1,Add realistic Sri Lankan market price
Noodle - 400G,1 kg,,,1,Add realistic Sri Lankan market price
Prawn/Shrimp - 300G After Clean,1 kg,,,1,Add realistic Sri Lankan market price
Cumin Seeds - ¼ Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Cardamom - 5,1 kg,,,1,Add realistic Sri Lankan market price
Crushed Cinnamon - 1 Tablespoon,1 kg,,,1,Add realistic Sri Lankan market price
Spring Roll Paper - 40 Sheets,1 kg,,,1,Add realistic Sri Lankan market price
Parotta/Roti - 15,1 kg,,,1,Add realistic Sri Lankan market price
Eggs - 7,1 kg,,,1,Add realistic Sri Lankan market price
Lemon - ½,1 kg,,,1,Add realistic Sri Lankan market price
Spring Roll Wrapper - 50 6” Or 150Mm Square Sheet,1 kg,,,1,Add realistic Sri Lankan market price
Parotta/Paratha Roti - 20,1 kg,,,1,Add realistic Sri Lankan market price
Eggs - 10,1 kg,,,1,Add realistic Sri Lankan market price
Cornstarch - 150G,1 kg,,,1,Add realistic Sri Lankan market price
Water - 4 Liters,1 kg,,,1,Add realistic Sri Lankan market price
Squid Ink - 3 Or 4 Portions,1 kg,,,1,Add realistic Sri Lankan market price
Water - 700Ml,1 kg,,,1,Add realistic Sri Lankan market price
Fenugreek Seeds - 2 Or 3 Pinch,1 kg,,,1,Add realistic Sri Lankan market price
Eggs - 3,1 kg,,,1,Add realistic Sri Lankan market price
Basmati Rice - 400G,1 kg,,,1,Add realistic Sri Lankan market price
Cinnamon - 4 To 6,1 kg,,,1,Add realistic Sri Lankan market price
Crushed Cardamom - ½ Teaspoon,1 kg,,,1,Add realistic Sri Lankan market price
Water - As You Need I Used 150Ml,1 kg,,,1,Add realistic Sri Lankan market price
Breadcrumbs - As You Need I Used 100G,1 kg,,,1,Add realistic Sri Lankan market price
Crab - 700G Before Clean,1 kg,,,1,Add realistic Sri Lankan market price
Cuttlefish/Squid - 250G,1 kg,,,1,Add realistic Sri Lankan market price
Prawn/Shrimp - 250G,1 kg,,,1,Add realistic Sri Lankan market price
