Name,Unit,Average Price,Min Price,Usage Count,Notes
Frog Legs,1 kg,,,1,Add realistic Sri Lankan market price
1/2 Tsp Crab Boil Seasoning,1 kg,,,1,Add realistic Sri Lankan market price
Unsweetened Cocoa,1 kg,,,1,Add realistic Sri Lankan market price
On Floured Surface To 1/8 Inch Thick,1 kg,,,1,Add realistic Sri Lankan market price
With Cookie Cutter,1 kg,,,1,Add realistic Sri Lankan market price
At 350°F,1 kg,,,1,Add realistic Sri Lankan market price
Ghee/Oil,1 kg,,,1,Add realistic Sri Lankan market price
Udad Dal,1 kg,,,1,Add realistic Sri Lankan market price
Sesame Seeds,1 kg,,,1,Add realistic Sri Lankan market price
Pound Cake,1 kg,,,1,Add realistic Sri Lankan market price
It Into A Serving Plate. Serve It As A Snack Or,1 kg,,,1,Add realistic Sri Lankan market price
Mace,1 kg,,,1,Add realistic Sri Lankan market price
1-1/4 Cup Water,1 kg,,,1,Add realistic Sri Lankan market price
Idli Rice,1 kg,,,1,Add realistic Sri Lankan market price
This Moulds In A Pan Which Is Filled With Steaming Water.,1 kg,,,1,Add realistic Sri Lankan market price
Rice Flour/Chawal Ka Aata,1 kg,,,1,Add realistic Sri Lankan market price
1/4 Th Cup Water,1 kg,,,1,Add realistic Sri Lankan market price
Done Remove On Plate & Allow It To Cool In Room Temperature.,1 kg,,,1,Add realistic Sri Lankan market price
Instant Yeast,1 kg,,,1,Add realistic Sri Lankan market price
1-1/2 Cups Warm Water,1 kg,,,1,Add realistic Sri Lankan market price
Hoppers Idiyapam,1 kg,,,1,Add realistic Sri Lankan market price
Briyani Masala,1 kg,,,1,Add realistic Sri Lankan market price
Clyndrical Balls.,1 kg,,,1,Add realistic Sri Lankan market price
Cook,1 kg,,,1,Add realistic Sri Lankan market price
Idiyappam Balls Shredded,1 kg,,,1,Add realistic Sri Lankan market price
Mixed Veggies,1 kg,,,1,Add realistic Sri Lankan market price
2-3 Tbsp. Fried Peanuts,1 kg,,,1,Add realistic Sri Lankan market price
Water + 3/4 Cup,1 kg,,,1,Add realistic Sri Lankan market price
Idiyappam String Hoppers,1 kg,,,1,Add realistic Sri Lankan market price
Tsp. Rose Water,1 kg,,,1,Add realistic Sri Lankan market price
1/2 Cups Water Boiling,1 kg,,,1,Add realistic Sri Lankan market price
Active Yeast,1 kg,,,1,Add realistic Sri Lankan market price
Soya Sauce,1 kg,,,1,Add realistic Sri Lankan market price
Make Scrambled Egg.Set Aside,1 kg,,,1,Add realistic Sri Lankan market price
String Hoppers.,1 kg,,,1,Add realistic Sri Lankan market price
1/4 Cup Water,1 kg,,,1,Add realistic Sri Lankan market price
Further Steam It,1 kg,,,1,Add realistic Sri Lankan market price
Leftover Idiyappam,1 kg,,,1,Add realistic Sri Lankan market price
2-3 Tbsp. Coriander Roots,1 kg,,,1,Add realistic Sri Lankan market price
Tsp. Kasuri Methi Crushed,1 kg,,,1,Add realistic Sri Lankan market price
Tsp. Asafoetida,1 kg,,,1,Add realistic Sri Lankan market price
1/2 Cups Salted Boiling Water,1 kg,,,1,Add realistic Sri Lankan market price
Black Chana,1 kg,,,1,Add realistic Sri Lankan market price
Hot Water,1 kg,,,1,Add realistic Sri Lankan market price
Yellow Moong Dal Split Yellow Lentils,1 kg,,,1,Add realistic Sri Lankan market price
- Cut Into 2-Inch Pieces,1 kg,,,1,Add realistic Sri Lankan market price
Sambhar Masala,1 kg,,,1,Add realistic Sri Lankan market price
Sprouts Chana,1 kg,,,1,Add realistic Sri Lankan market price
Kaskas,1 kg,,,1,Add realistic Sri Lankan market price
Annise,1 kg,,,1,Add realistic Sri Lankan market price
Rice Sevai,1 kg,,,1,Add realistic Sri Lankan market price
Corn 🌽,1 kg,,,1,Add realistic Sri Lankan market price
Haldi,1 kg,,,1,Add realistic Sri Lankan market price
Idiyappam,1 kg,,,1,Add realistic Sri Lankan market price
Curry Leaf,1 kg,,,1,Add realistic Sri Lankan market price
1Tsp Cumin Seeds,1 kg,,,1,Add realistic Sri Lankan market price
1Tsp Urad Dal,1 kg,,,1,Add realistic Sri Lankan market price
Yoghurt Whisked,1 kg,,,1,Add realistic Sri Lankan market price
Tbsp. Peanuts,1 kg,,,1,Add realistic Sri Lankan market price
Idiyappam.,1 kg,,,1,Add realistic Sri Lankan market price
3/4 Cup Water,1 kg,,,1,Add realistic Sri Lankan market price
Finally Serve Ragi Idiyappam. Enjoyyy!!!,1 kg,,,1,Add realistic Sri Lankan market price
Sama Rice,1 kg,,,1,Add realistic Sri Lankan market price
Amrutham Podi,1 kg,,,1,Add realistic Sri Lankan market price
Spinach,1 kg,,,1,Add realistic Sri Lankan market price
Patta,1 kg,,,1,Add realistic Sri Lankan market price
2 Glasses Of Boiling Water Ready,1 kg,,,1,Add realistic Sri Lankan market price
Or Shredded Vegetables Of Your Choice.Cabbage,1 kg,,,1,Add realistic Sri Lankan market price
Left Over Curry Optional,1 kg,,,1,Add realistic Sri Lankan market price
Crumbled Paneer Or Toffu Optional,1 kg,,,1,Add realistic Sri Lankan market price
Roti Or Paratha,1 kg,,,1,Add realistic Sri Lankan market price
Chapatis,1 kg,,,1,Add realistic Sri Lankan market price
Rotis,1 kg,,,1,Add realistic Sri Lankan market price
Chapati,1 kg,,,1,Add realistic Sri Lankan market price
Chapathi,1 kg,,,1,Add realistic Sri Lankan market price
Any Kuruma/Salna,1 kg,,,1,Add realistic Sri Lankan market price
Chapathi Into Pieces. Keep It Aside,1 kg,,,1,Add realistic Sri Lankan market price
Urad Daal,1 kg,,,1,Add realistic Sri Lankan market price
Jeera / Cumin,1 kg,,,1,Add realistic Sri Lankan market price
Toor Daal,1 kg,,,1,Add realistic Sri Lankan market price
Lemon/Lime Juice,1 kg,,,1,Add realistic Sri Lankan market price
Finely,1 kg,,,1,Add realistic Sri Lankan market price
Perumgeera,1 kg,,,1,Add realistic Sri Lankan market price
Coriander Wholeoptional,1 kg,,,1,Add realistic Sri Lankan market price
Tamarind Water,1 kg,,,1,Add realistic Sri Lankan market price
